Subject,Fold_Accuracies,Mean,Std
A01,0.775862|0.844828|0.913793|0.824561|0.807018,0.833212,0.046213
A02,0.551724|0.689655|0.637931|0.807018|0.719298,0.681125,0.084840
A03,0.879310|0.775862|0.913793|0.859649|0.789474,0.843618,0.052873
A04,0.689655|0.637931|0.603448|0.631579|0.631579,0.638838,0.028075
A05,0.362069|0.413793|0.568966|0.456140|0.403509,0.440895,0.070683
A06,0.741379|0.465517|0.655172|0.596491|0.508772,0.593466,0.099236
A07,0.793103|0.862069|0.793103|0.912281|0.877193,0.847550,0.047346
A08,0.896552|0.844828|0.913793|0.842105|0.789474,0.857350,0.044089
A09,0.724138|0.603448|0.586207|0.649123|0.666667,0.645917,0.048843
