Subject,Fold_Accuracies,Mean,Std
A01,0.672414|0.672414|0.724138|0.719298|0.684211,0.694495,0.022693
A02,0.431034|0.568966|0.482759|0.578947|0.649123,0.542166,0.076668
A03,0.775862|0.827586|0.775862|0.842105|0.789474,0.802178,0.027518
A04,0.551724|0.448276|0.413793|0.438596|0.473684,0.465215,0.047319
A05,0.362069|0.396552|0.224138|0.298246|0.315789,0.319359,0.058836
A06,0.517241|0.448276|0.482759|0.473684|0.491228,0.482638,0.022504
A07,0.586207|0.637931|0.551724|0.701754|0.666667,0.628857,0.054027
A08,0.810345|0.793103|0.741379|0.754386|0.736842,0.767211,0.029274
A09,0.500000|0.551724|0.482759|0.473684|0.508772,0.503388,0.027147
