Subject,Accuracy
A01,0.597222
A02,0.239583
A03,0.583333
A04,0.343750
A05,0.246528
A06,0.305556
A07,0.513889
A08,0.486111
A09,0.347222

Mean,0.407022
Std,0.131912
