Subject,Accuracy
A01,0.475694
A02,0.225694
A03,0.562500
A04,0.354167
A05,0.246528
A06,0.322917
A07,0.263889
A08,0.690972
A09,0.357639

Mean,0.388889
Std,0.148320
