Subject,Fold_Accuracies,Mean,Std
A01,0.793103|0.724138|0.724138|0.754386|0.684211,0.735995,0.036228
A02,0.637931|0.620690|0.586207|0.614035|0.666667,0.625106,0.026634
A03,0.827586|0.879310|0.775862|0.824561|0.771930,0.815850,0.039418
A04,0.586207|0.637931|0.500000|0.578947|0.491228,0.558863,0.055574
A05,0.344828|0.396552|0.379310|0.385965|0.368421,0.375015,0.017646
A06,0.517241|0.344828|0.517241|0.491228|0.473684,0.468845,0.064170
A07,0.741379|0.672414|0.568966|0.701754|0.789474,0.694797,0.074184
A08,0.879310|0.862069|0.879310|0.912281|0.789474,0.864489,0.040882
A09,0.603448|0.724138|0.586207|0.596491|0.578947,0.617846,0.053806
