Subject,Accuracy
A01,0.500000
A02,0.232639
A03,0.597222
A04,0.402778
A05,0.260417
A06,0.295139
A07,0.309028
A08,0.506944
A09,0.399306

Mean,0.389275
Std,0.118355
