Subject,Accuracy
A01,0.694444
A02,0.211806
A03,0.642361
A04,0.277778
A05,0.284722
A06,0.375000
A07,0.291667
A08,0.687500
A09,0.420139

Mean,0.431713
Std,0.181185
