Subject,Fold_Accuracies,Mean,Std
A01,0.672414|0.655172|0.724138|0.719298|0.684211,0.691047,0.026736
A02,0.465517|0.603448|0.568966|0.543860|0.614035,0.559165,0.053051
A03,0.775862|0.793103|0.758621|0.842105|0.789474,0.791833,0.027902
A04,0.500000|0.482759|0.465517|0.438596|0.508772,0.479129,0.025122
A05,0.310345|0.327586|0.275862|0.280702|0.385965,0.316092,0.039795
A06,0.448276|0.396552|0.396552|0.421053|0.473684,0.427223,0.030071
A07,0.603448|0.620690|0.534483|0.719298|0.684211,0.632426,0.064496
A08,0.793103|0.775862|0.724138|0.736842|0.719298,0.749849,0.029364
A09,0.517241|0.482759|0.500000|0.491228|0.543860,0.507018,0.021674
