Subject,Accuracy
A01,0.687500
A02,0.211806
A03,0.645833
A04,0.274306
A05,0.277778
A06,0.378472
A07,0.291667
A08,0.684028
A09,0.416667

Mean,0.429784
Std,0.180865
