Subject,Fold_Accuracies,Mean,Std
A01,0.706897|0.655172|0.741379|0.771930|0.684211,0.711918,0.041188
A02,0.534483|0.517241|0.568966|0.614035|0.543860,0.555717,0.033611
A03,0.810345|0.827586|0.810345|0.877193|0.842105,0.833515,0.024861
A04,0.603448|0.517241|0.379310|0.508772|0.543860,0.510526,0.073500
A05,0.344828|0.448276|0.413793|0.315789|0.298246,0.364186,0.057614
A06,0.603448|0.500000|0.517241|0.543860|0.456140,0.524138,0.048853
A07,0.810345|0.689655|0.603448|0.684211|0.666667,0.690865,0.067154
A08,0.879310|0.896552|0.844828|0.894737|0.719298,0.846945,0.066469
A09,0.620690|0.655172|0.551724|0.578947|0.614035,0.604114,0.035660
